EMPLOYER_NAME,target,value,source,pay
Amazon CENTER,Amazon,1,SANTA CLARA COUNTY,131300
Amazon CENTER,Amazon,1,SANTA CLARA COUNTY,148600
Amazon CENTER,Amazon,1,SANTA CLARA COUNTY,127000
"Amazon CENTER , INC.",Amazon,1,SANTA CLARA COUNTY,136000
"Amazon CENTER , INC.",Amazon,1,SANTA CLARA COUNTY,110000
"Amazon CENTER , INC.",Amazon,1,SANTA CLARA COUNTY,138000
"Amazon CENTER , INC.",Amazon,1,SANTA CLARA COUNTY,145000
"Amazon CENTER , INC.",Amazon,1,SANTA CLARA COUNTY,145000
"Amazon CENTER , INC.",Amazon,1,SANTA CLARA COUNTY,125000
"Amazon CENTER , INC.",Amazon,1,SANTA CLARA COUNTY,130000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,150000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,111000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,175000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,165000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,120000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,125000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,110000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,145000
Amazon CENTER INC,Amazon,1,SANTA CLARA COUNTY,117700
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,111511
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,111511
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,10,SANTA CLARA COUNTY,145900
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,144521
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,144521
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,151093.5
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,144521
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,151093.5
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,151093.5
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,155482.5
Amazon CENTER INC.,Amazon,5,SANTA CLARA COUNTY,141850
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,112880
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,120100
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,129500
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,133000
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,119935
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,119935
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,116200
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,132100
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,112800
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,103800
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,152600
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,160000
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,103000
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,170100
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,163400
Amazon CENTER INC.,Amazon,1,SANTA CLARA COUNTY,139400
Amazon CENTER INC.,Amazon,1,SAN FRANCISCO COUNTY,106000
Amazon CENTER INC.,Amazon,1,SAN FRANCISCO COUNTY,158000
"Amazon CENTER, INC",Amazon,5,SANTA CLARA COUNTY,153454.5
"Amazon CENTER, INC",Amazon,5,SANTA CLARA COUNTY,153454.5
"Amazon CENTER, INC",Amazon,1,SANTA CLARA COUNTY,120700
"Amazon CENTER, INC",Amazon,1,SANTA CLARA COUNTY,149200
