target,source,value,pay_category
Adobe,San Francisco,0,<$50K
Amazon,San Francisco,0,<$50K
Apple,San Francisco,0,<$50K
Cisco,San Francisco,0,<$50K
Facebook,San Francisco,0,<$50K
Google,San Francisco,0,<$50K
Infosys,San Francisco,0,<$50K
Intuit,San Francisco,0,<$50K
Juniper,San Francisco,0,<$50K
Mindtree,San Francisco,0,<$50K
Mphasis,San Francisco,0,<$50K
Oracle,San Francisco,0,<$50K
PwC,San Francisco,0,<$50K
Samsung,San Francisco,0,<$50K
Synopsys,San Francisco,0,<$50K
Tata,San Francisco,0,<$50K
Uber,San Francisco,0,<$50K
Wipro,San Francisco,0,<$50K
Deloitte,San Mateo,0,<$50K
Facebook,San Mateo,0,<$50K
Google,San Mateo,0,<$50K
Infosys,San Mateo,0,<$50K
Intuit,San Mateo,0,<$50K
Mindtree,San Mateo,0,<$50K
Oracle,San Mateo,0,<$50K
PwC,San Mateo,0,<$50K
Samsung,San Mateo,0,<$50K
Tata,San Mateo,0,<$50K
Wipro,San Mateo,0,<$50K
Adobe,Santa Clara,0,<$50K
Amazon,Santa Clara,0,<$50K
Cisco,Santa Clara,0,<$50K
Deloitte,Santa Clara,0,<$50K
Facebook,Santa Clara,0,<$50K
Google,Santa Clara,0,<$50K
Infosys,Santa Clara,0,<$50K
Intuit,Santa Clara,0,<$50K
Juniper,Santa Clara,0,<$50K
Mindtree,Santa Clara,0,<$50K
Mphasis,Santa Clara,0,<$50K
Nvidia,Santa Clara,0,<$50K
Oracle,Santa Clara,0,<$50K
PwC,Santa Clara,0,<$50K
Samsung,Santa Clara,0,<$50K
Synopsys,Santa Clara,0,<$50K
Tata,Santa Clara,0,<$50K
Uber,Santa Clara,0,<$50K
Wipro,Santa Clara,0,<$50K
Apple,San Francisco,0,$50-100K
Facebook,San Francisco,0,$50-100K
Intuit,San Francisco,0,$50-100K
Juniper,San Francisco,0,$50-100K
Synopsys,San Francisco,0,$50-100K
Facebook,Santa Clara,0,$50-100K
Synopsys,Santa Clara,0,$50-100K
Uber,Santa Clara,0,$50-100K
Facebook,San Francisco,0,$100-$150K
Mindtree,San Francisco,0,$100-$150K
Mindtree,San Mateo,0,$100-$150K
Juniper,San Francisco,0,>$150K
Mindtree,San Francisco,0,>$150K
Mphasis,San Francisco,0,>$150K
Synopsys,San Francisco,0,>$150K
Tata,San Francisco,0,>$150K
Wipro,San Francisco,0,>$150K
Infosys,San Mateo,0,>$150K
Mindtree,San Mateo,0,>$150K
PwC,San Mateo,0,>$150K
Samsung,San Mateo,0,>$150K
Tata,San Mateo,0,>$150K
Wipro,San Mateo,0,>$150K
Mindtree,Santa Clara,0,>$150K
Tata,Santa Clara,0,>$150K
Samsung,San Mateo,1,$50-100K
Tata,San Francisco,1,$100-$150K
Samsung,San Francisco,1,>$150K
Uber,Santa Clara,1,>$150K
PwC,San Mateo,2,$100-$150K
Apple,San Francisco,2,>$150K
Facebook,San Francisco,2,>$150K
Intuit,San Francisco,2,>$150K
Tata,San Mateo,3,$100-$150K
Facebook,Santa Clara,3,$100-$150K
Wipro,Santa Clara,3,>$150K
Google,San Francisco,4,$50-100K
PwC,San Mateo,4,$50-100K
Samsung,San Francisco,4,$100-$150K
Amazon,San Francisco,4,>$150K
Wipro,San Francisco,5,$100-$150K
Google,San Mateo,6,$50-100K
Juniper,San Francisco,6,$100-$150K
Wipro,San Mateo,6,$100-$150K
Intuit,San Mateo,6,>$150K
Facebook,Santa Clara,6,>$150K
Samsung,San Mateo,7,$100-$150K
Adobe,San Francisco,7,>$150K
Infosys,San Francisco,7,>$150K
Infosys,Santa Clara,7,>$150K
Apple,San Francisco,9,$100-$150K
